Year,Buy,Sell
2000," 14,050 "," 14,200 "
2001," 14,600 "," 14,800 "
2002," 15,000 "," 15,200 "
2003," 15,300 "," 15,500 "
2004," 15,600 "," 15,800 "
2005," 15,800 "," 16,000 "
2006," 15,900 "," 16,100 "
2007," 16,000 "," 16,200 "
2008," 16,400 "," 16,800 "
2009," 17,300 "," 17,800 "
2010," 18,900 "," 19,300 "
2011," 20,800 "," 21,300 "
2012," 20,800 "," 21,000 "
2013," 21,000 "," 21,300 "
2014," 21,200 "," 21,400 "
2015," 22,200 "," 22,500 "
2016," 22,600 "," 22,800 "
2017," 22,700 "," 22,900 "
2018," 23,200 "," 23,400 "
2019," 23,150 "," 23,350 "
2020," 23,200 "," 23,400 "
2021," 22,900 "," 23,200 "
2022," 24,170 "," 24,270 "
2023," 25,300 "," 25,500 "
2024," 25,590 "," 25,690 "
2025," 26,240 "," 26,340 "
